RAM(MB),Cores,Workload_GPU(%),Workload_CPU(%),YOLOtime(s)
1000,1,27.69811320754717,40,2.377166
1000,1,27.69811320754717,40,2.352107
1000,1,27.69811320754717,40,2.636526
1000,1,27.69811320754717,40,2.521358
1000,1,27.69811320754717,40,2.294046
1000,1,27.69811320754717,40,2.645816
1000,1,27.69811320754717,40,2.449864
1000,1,27.69811320754717,40,2.345046
1000,1,27.69811320754717,40,2.739972
1000,1,27.69811320754717,40,2.568102
1000,1,27.69811320754717,40,2.273144
1000,1,27.69811320754717,40,2.598025
1000,1,27.69811320754717,40,2.673350
1000,1,27.69811320754717,40,2.319111
1000,1,27.69811320754717,40,2.643751
1000,1,27.69811320754717,40,2.577249
1000,1,27.69811320754717,40,2.362858
1000,1,27.69811320754717,40,2.566942
1000,1,27.69811320754717,40,2.591140
1000,1,27.69811320754717,40,2.302794
1000,1,27.69811320754717,40,2.579322
1000,1,27.69811320754717,40,2.587636
1000,1,27.69811320754717,40,2.268791
1000,1,27.69811320754717,40,2.751256
1000,1,27.69811320754717,40,2.761669
1000,1,27.69811320754717,40,2.353521
1000,1,27.69811320754717,40,2.595925
1000,1,27.69811320754717,40,2.343947
1000,1,27.69811320754717,40,2.496436
1000,1,27.69811320754717,40,2.640911
1000,1,27.69811320754717,40,2.353881
1000,1,27.69811320754717,40,2.336681
1000,1,27.69811320754717,40,2.624793
1000,1,27.69811320754717,40,2.525697
1000,1,27.69811320754717,40,2.302242
1000,1,27.69811320754717,40,2.608007
1000,1,27.69811320754717,40,2.451769
1000,1,27.69811320754717,40,2.395729
1000,1,27.69811320754717,40,2.660976
1000,1,27.69811320754717,40,2.516560
1500,1,15.320754716981131,40,2.411381
1500,1,15.320754716981131,40,2.312311
1500,1,15.320754716981131,40,2.596434
1500,1,15.320754716981131,40,2.551365
1500,1,15.320754716981131,40,2.317981
1500,1,15.320754716981131,40,2.479492
1500,1,15.320754716981131,40,2.512591
1500,1,15.320754716981131,40,2.523374
1500,1,15.320754716981131,40,2.274560
1500,1,15.320754716981131,40,2.573241
1500,1,15.320754716981131,40,2.554439
1500,1,15.320754716981131,40,2.446668
1500,1,15.320754716981131,40,2.279265
1500,1,15.320754716981131,40,2.512203
1500,1,15.320754716981131,40,2.586016
1500,1,15.320754716981131,40,2.354370
1500,1,15.320754716981131,40,2.238198
1500,1,15.320754716981131,40,2.575031
1500,1,15.320754716981131,40,2.565424
1500,1,15.320754716981131,40,2.280338
1500,1,15.320754716981131,40,2.488815
1500,1,15.320754716981131,40,2.424035
1500,1,15.320754716981131,40,2.223433
1500,1,15.320754716981131,40,2.257808
1500,1,15.320754716981131,40,2.623670
1500,1,15.320754716981131,40,2.529576
1500,1,15.320754716981131,40,2.327902
1500,1,15.320754716981131,40,2.303885
1500,1,15.320754716981131,40,2.611294
1500,1,15.320754716981131,40,2.483659
1500,1,15.320754716981131,40,2.295278
1500,1,15.320754716981131,40,2.525301
1500,1,15.320754716981131,40,2.287497
1500,1,15.320754716981131,40,2.282309
1500,1,15.320754716981131,40,2.551992
1500,1,15.320754716981131,40,2.591131
1500,1,15.320754716981131,40,2.288079
1500,1,15.320754716981131,40,2.337195
1500,1,15.320754716981131,40,2.525967
1500,1,15.320754716981131,40,2.683104
2000,1,44.735849056603776,40,2.401340
2000,1,44.735849056603776,40,2.223550
2000,1,44.735849056603776,40,2.504939
2000,1,44.735849056603776,40,2.632137
2000,1,44.735849056603776,40,2.629692
2000,1,44.735849056603776,40,2.353090
2000,1,44.735849056603776,40,2.462230
2000,1,44.735849056603776,40,2.490635
2000,1,44.735849056603776,40,2.331559
2000,1,44.735849056603776,40,2.694242
2000,1,44.735849056603776,40,2.617659
2000,1,44.735849056603776,40,2.278080
2000,1,44.735849056603776,40,2.753500
2000,1,44.735849056603776,40,2.536077
2000,1,44.735849056603776,40,2.524065
2000,1,44.735849056603776,40,2.320271
2000,1,44.735849056603776,40,2.523301
2000,1,44.735849056603776,40,2.544241
2000,1,44.735849056603776,40,2.573331
2000,1,44.735849056603776,40,2.302110
2000,1,44.735849056603776,40,2.516713
2000,1,44.735849056603776,40,2.580386
2000,1,44.735849056603776,40,2.247969
2000,1,44.735849056603776,40,2.475268
2000,1,44.735849056603776,40,2.686618
2000,1,44.735849056603776,40,2.644909
2000,1,44.735849056603776,40,2.292434
2000,1,44.735849056603776,40,2.549858
2000,1,44.735849056603776,40,2.623263
2000,1,44.735849056603776,40,2.436345
2000,1,44.735849056603776,40,2.423517
2000,1,44.735849056603776,40,2.642314
2000,1,44.735849056603776,40,2.269515
2000,1,44.735849056603776,40,2.457868
2000,1,44.735849056603776,40,2.618004
2000,1,44.735849056603776,40,2.568973
2000,1,44.735849056603776,40,2.304905
2000,1,44.735849056603776,40,2.536321
2000,1,44.735849056603776,40,2.587316
2000,1,44.735849056603776,40,2.282588
2500,1,26.39622641509434,40,2.445298
2500,1,26.39622641509434,40,2.310685
2500,1,26.39622641509434,40,2.547578
2500,1,26.39622641509434,40,2.531199
2500,1,26.39622641509434,40,2.320027
2500,1,26.39622641509434,40,2.415935
2500,1,26.39622641509434,40,2.570746
2500,1,26.39622641509434,40,2.598246
2500,1,26.39622641509434,40,2.389108
2500,1,26.39622641509434,40,2.611979
2500,1,26.39622641509434,40,2.640581
2500,1,26.39622641509434,40,2.314756
2500,1,26.39622641509434,40,2.370143
2500,1,26.39622641509434,40,2.558321
2500,1,26.39622641509434,40,2.490652
2500,1,26.39622641509434,40,2.321294
2500,1,26.39622641509434,40,2.498640
2500,1,26.39622641509434,40,2.594587
2500,1,26.39622641509434,40,2.503141
2500,1,26.39622641509434,40,2.300912
2500,1,26.39622641509434,40,2.550791
2500,1,26.39622641509434,40,2.533089
2500,1,26.39622641509434,40,2.260151
2500,1,26.39622641509434,40,2.398198
2500,1,26.39622641509434,40,2.541271
2500,1,26.39622641509434,40,2.562237
2500,1,26.39622641509434,40,2.285705
2500,1,26.39622641509434,40,2.464511
2500,1,26.39622641509434,40,2.633263
2500,1,26.39622641509434,40,2.589092
2500,1,26.39622641509434,40,2.287029
2500,1,26.39622641509434,40,2.566873
2500,1,26.39622641509434,40,2.300649
2500,1,26.39622641509434,40,2.386237
2500,1,26.39622641509434,40,2.592716
2500,1,26.39622641509434,40,2.679791
2500,1,26.39622641509434,40,2.334470
2500,1,26.39622641509434,40,2.681913
2500,1,26.39622641509434,40,2.666628
2500,1,26.39622641509434,40,2.368150
3000,1,33.16981132075472,40,2.362932
3000,1,33.16981132075472,40,2.295372
3000,1,33.16981132075472,40,2.491139
3000,1,33.16981132075472,40,2.547444
3000,1,33.16981132075472,40,2.328944
3000,1,33.16981132075472,40,2.409873
3000,1,33.16981132075472,40,2.554558
3000,1,33.16981132075472,40,2.546782
3000,1,33.16981132075472,40,2.320347
3000,1,33.16981132075472,40,2.472179
3000,1,33.16981132075472,40,2.608032
3000,1,33.16981132075472,40,2.319668
3000,1,33.16981132075472,40,2.282842
3000,1,33.16981132075472,40,2.563915
3000,1,33.16981132075472,40,2.576806
3000,1,33.16981132075472,40,2.336899
3000,1,33.16981132075472,40,2.499394
3000,1,33.16981132075472,40,2.530454
3000,1,33.16981132075472,40,2.483620
3000,1,33.16981132075472,40,2.299603
3000,1,33.16981132075472,40,2.582037
3000,1,33.16981132075472,40,2.597245
3000,1,33.16981132075472,40,2.334394
3000,1,33.16981132075472,40,2.684342
3000,1,33.16981132075472,40,2.537261
3000,1,33.16981132075472,40,2.340765
3000,1,33.16981132075472,40,2.337654
3000,1,33.16981132075472,40,2.675503
3000,1,33.16981132075472,40,2.630125
3000,1,33.16981132075472,40,2.272200
3000,1,33.16981132075472,40,2.644570
3000,1,33.16981132075472,40,2.389760
3000,1,33.16981132075472,40,2.391085
3000,1,33.16981132075472,40,2.629814
3000,1,33.16981132075472,40,2.338520
3000,1,33.16981132075472,40,2.296901
3000,1,33.16981132075472,40,2.554878
3000,1,33.16981132075472,40,2.592946
3000,1,33.16981132075472,40,2.357081
3000,1,33.16981132075472,40,2.327438
